Exporter Name,Address,State,pin,2015,2016,2017,2018,2019,2020,2021,2022,2023,Taluk,District,Latitude,Longitude,Cluster,2024,2025,2026,2027,2028
KERALA CARDAMOM PROCESSING & MKTG.CO.LTD,"Kerala, India",Kerala,688534,200000,64000,86250,73160,0,29920,129215,146541,115394,Cherthla,Alappuzha,9.871729377,76.30438504,0,115399.03,115465.23,115403.99,115240.74,115433.21
KERALA DINESH BEEDI WORKERS,"Kerala, India",Kerala,688534,7547,9075,6750,5102,9823,0,0,7591,5948,Cherthla,Alappuzha,9.871729377,76.30438504,0,5946.87,5932.64,5938.51,5938.44,5937.62
KERALA HOME FOOD STUFF EXPORT,"Kerala, India",Kerala,688534,627655,632635,392616,507897,306565,257160,180734,203756,222465,Cherthla,Alappuzha,9.871729377,76.30438504,0,222622.78,221809.46,223258.4,223160.03,223359.03
KERALA MINERALS & METALS LTD.,"Kerala, India",Kerala,688534,1596980,2807800,2747992,4154057,2578227,2621102,2615108,2328060,2061400,Cherthla,Alappuzha,9.871729377,76.30438504,0,2073048.81,2070439.96,2065707.31,2070465.72,2066511.83
KERALA RUBBER & RECLAIMS LTD.,"Kerala, India",Kerala,688524,28000,0,0,0,0,0,0,0,0,Cherthala,Alappuzha,9.689101163,76.3328507,0,0,0,0,0,0
KERALA STATE CO-OP.RUBBER MKT.FED.LTD.,"Kerala, India",Kerala,688534,5664,0,0,0,0,0,0,0,0,Cherthla,Alappuzha,9.871729377,76.30438504,0,0,0,0,0,0
KERALA STATE COIR CORPN.LTD.,"F8WJ+464, CCNB Rd, Market Ward, Alappuzha, Kerala 688001, India",Kerala,688001,226044,922870,865017,795278,977976,1665167,1847586,1725224,1034388,Ambalapuzha,Alappuzha,9.496383919,76.33209265,0,1028915.06,1029776.44,1028524.7,1032578.12,1031640.09
KOTTAKKAL AYUR THERAPIES P.LTD.,"Kottakkal, Kerala, India",Kerala,688534,25000,0,0,0,0,0,0,0,0,Cherthla,Alappuzha,9.871729377,76.30438504,0,0,0,0,0,0
KUTHIATHODE COIR MATS&MATTING CO-OP.SOCIETY LTD.,"Kuthiathodu, Kodamthuruth, Kerala, India",Kerala,688534,18823,40511,61665,16000,0,0,0,0,0,Cherthla,Alappuzha,9.871729377,76.30438504,0,0,0,0,0,0
KUTTANADU COIR&RUBBER PRODUCTS,"Kuttanad, Kuttanad Taluk, Kerala",Kerala,688534,272143,13258,66560,0,0,0,0,0,0,Cherthla,Alappuzha,9.871729377,76.30438504,0,0,0,0,0,0
LORDS EXPORTS,"CMC-3/79H, Madakkan's Building, North of Manorama Junction, Cherthala, Velorvattom, Alappuzha, Cherthala, Kerala 688524, India",Kerala,688524,55510,99735,48342,34531,89081,139792,204358,59524,141719,Cherthala,Alappuzha,9.689101163,76.3328507,0,141581.17,141517.07,141384.02,141518.21,141535.26
MAK PLYWOOD INDUSTRIES PVT LTD,"QV5R+P72, Thalapady JHC, Kinya, Kerala 575023, India",Kerala,688524,36300,0,0,0,0,97,0,0,0,Cherthala,Alappuzha,9.689101163,76.3328507,0,0,0,0,0,0
MAROTTIKKAL COIR WORKS,"Cherthala - Arookutty Rd, South, Poochakkal, Kerala 688526, India",Kerala,688526,186300,13250,0,0,21417,73059,207176,65824,139005,Cherthala,Alappuzha,9.806103367,76.35243925,0,139265.35,139416.26,139303.86,139475.49,139462.92
MATS N MORE,"IV/446A, Valavanadu, Pollathtai P.O, Kalavoor, Alappuzha, Kerala 688522, India",Kerala,688522,250043,490751,1355063,1392430,1641619,2478498,2502489,2863753,2786338,Ambalapuzha,Alappuzha,9.572168203,76.32190507,0,2754462.69,2747255.18,2747389.42,2752303.4,2742947.46
META CLASSICS FIBRES,"Varanam ,Puthanangadi, Krishnakripa, Cherthala, Kerala 688524, India",Kerala,688524,294145,296432,374551,439873,471038,622109,939326,440334,504008,Cherthala,Alappuzha,9.689101163,76.3328507,0,505731.49,506618.47,506129.75,506604.79,505790.7
N.C. JOHN & SONS LTD.,"G8RH+V3F, National Highway 47, Pathirappally, Poomkavu, Alappuzha, Kerala 688521, India",Kerala,688521,5192613,6579939,7004422,6250518,6322462,5981225,5508730,3632929,1206918,Ambalapuzha,Alappuzha,9.534986122,76.3284427,0,1208976.12,1204554.31,1204729.13,1206643.62,1204239.57
NATIONAL COIR MILLS,"near, Vazhicherry Rd, Vazhicherry Ward, Sea View Ward, Alappuzha, Kerala 688001, India",Kerala,688001,132695,107690,110303,129670,162079,97626,145191,106370,135162,Ambalapuzha,Alappuzha,9.496383919,76.33209265,0,134675.02,134733.6,134783.6,134704.89,134799.26
OCEAN WEALTH EXPORTS,"EP 9/92, 93, Lakshan Veedu Rd, Eramalloor, Ezhupunna, Kerala 688537, India",Kerala,688537,1035058,1586699,1525008,1844837,1304133,1017932,2086254,2370411,1687617,Cherthala,Alappuzha,9.82172572,76.30522974,0,1687817.32,1692703.35,1683328.51,1690037.18,1686050.58
P.K.GOVINDAN CO.,"A. S. Road, Kommady, Kaichoondi, Alappuzha, Aryad South, Kerala 688007, India",Kerala,688007,150,4090,123320,11550,12010,0,0,0,0,Ambalapuzh A,Alappuzha,9.510326071,76.32687786,0,0,0,0,0,0
PALM FIBRE(INDIA)P.LTD.,"East of NH, Pathirappally, Aikyabharatham, Alappuzha, Kerala 688521, India",Kerala,688521,4703477,6271032,7122657,7212334,7033722,7886369,10828727,6948222,6436127,Ambalapuzha,Alappuzha,9.534986122,76.3284427,0,6667378.31,6654135.54,6774174.18,6676683.75,6672298.8
PARAYIL FOOD PRODUCTS P.LTD.,"Kochi,, V7PW+8X2, Aroor gram panchayat, Kochi, Kerala 688534, India",Kerala,688534,1052558,1653885,1957655,2134671,2846558,2186741,4507946,5303099,7220327,Cherthla,Alappuzha,9.871729377,76.30438504,0,6853101.12,6854175.19,6875912.46,6860235.44,6985610.28
POBJI EMPORIUM,"Valavanadu, P.O, Kalavoor, Alappuzha, Kerala 688522, India",Kerala,688522,1086007,1434545,1285699,1551734,1562623,1210061,1761393,1606980,1746482,Ambalapuzha,Alappuzha,9.572168203,76.32190507,0,1756666.01,1752397.24,1750621,1751321.3,1748552.19
POOPPALLY COIR MILLS,"AS Road, 688 007, Kommady, Thumpoly, Alappuzha, Aryad South, Kerala 688008, India",Kerala,688008,1363760,1292062,1080234,1632823,1551727,1717956,1795928,1847814,1699906,Ambalapuzha,Alappuzha,9.521471733,76.3244164,0,1702373.22,1699176.45,1703863.06,1701150.81,1703799.11
PREMIER EXPORTS INTERNATIONAL,"R8Q5+8HG, Salem - Kochi Hwy, Chandiroor, Kerala 688535, India",Kerala,688535,1413628,1513289,1470294,2172345,1716353,1044550,1314147,1157217,1292564,Cherthala,Alappuzha,9.8564922,76.32294532,0,1294114.48,1292933,1293128.28,1291002.66,1291159.62
PREMIER INNOVATIVE FOODS,"Pallipuram p.o, Pallippuram Thycattussery Road, Pallipuram, Kerala 688541, India",Kerala,688541,128000,89180,88944,0,0,0,0,0,0,Cherthala,Alappuzha,9.742432095,76.36193387,0,0,0,0,0,0
PREMIER MARINE ENTERPRISES,"R8F4+6MQ, Rd, Neendakara, Eramalloor, Ezhupunna, Kerala 688537, India",Kerala,688537,206000,357500,322000,568300,155180,202489,513597,767808,470336,Cherthala,Alappuzha,9.82172572,76.30522974,0,470493.34,472253.31,470460.89,471093.09,471304.28
PREMIER MARINE FOODS,"Premier Marine Foods, V835+8C7, National Highway 47, Chandiroor, Kochi, Kerala 688535, India",Kerala,688535,3353830,3962064,4902574,3988860,4185712,3831341,4744141,4174005,4586459,Cherthala,Alappuzha,9.8564922,76.32294532,0,4605266.82,4671557.48,4610982.41,4611142.54,4615541.21
R.F. EXPORTS,"Eramalloor,, Chandiroor, Alappuzha, Kerala 688537, India",Kerala,688537,2071952,2653742,2549390,3401208,3306954,3614404,4385239,4046554,2562877,Cherthala,Alappuzha,9.82172572,76.30522974,0,2612869.23,2621339.99,2605547.93,2608325.9,2600829.77
R.S.A MARINES,"Old, NH road, Chandiroor, Cherthala, Kerala 688547, India",Kerala,688547,283158,1131940,2035158,1444591,998632,1188645,1152740,365500,363000,Cherthala,Alappuzha,9.765011083,76.36738138,0,363732.88,363824.23,363308.96,362547.44,363279.25
RAJ EXIM,"No: 3, Balaji Street Bypass Road, M.M.C.Colony, MGM Nagar, Avaniyapuram, Tamil Nadu 12, India",Tamil Nadu,688524,12126,12600,19200,0,199,0,0,9657,0,Cherthala,Alappuzha,9.689101163,76.3328507,0,0,0,0,0,0
RAM BAHADUR THAKUR KERALA P. LTD.,"Kerala, India",Kerala,688534,825,0,0,0,0,0,0,0,0,Cherthla,Alappuzha,9.871729377,76.30438504,0,0,0,0,0,0
RAM COIR MILLS,"271/CMC 5, Nedumprakkad, P85X+MC8, Cherthala, Kerala 688524, India",Kerala,688524,4763871,5457897,6629300,7195080,4168988,4509927,4977764,3216635,1922972,Cherthala,Alappuzha,9.689101163,76.3328507,0,1913633.96,1909790.39,1909628.32,1909097.71,1913409.36
RELISH CUSTOM FOOD,"Beach Road, Valanjavazhy, Kerala 688005, India",Kerala,688005,131534,0,79000,52000,55000,49516,90563,77574,28624,Ambalappuzha,Alappuzha,9.40768399,76.35170703,0,28611.45,28616.52,28617.65,28618.89,28617.04
