Importers,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028
GLOBAL FURNIMART INDIA PVT.LT,74252.0,68443.0,117420.0,59627.0,10571.0,4840.0,35219.0,25145.0,9000.0,9697.2918302346,11033.881301008832,25190.644423582635,75302.6090026756,9399.079894574847
GLOBAL TRADING COMPANY,25200.0,25200.0,907260.0,3206870.0,2241000.0,2698170.0,2490146.0,2182468.0,2295255.0,2942183.1132414057,2226735.83811038,2142225.45184219,42234.48949464271,2353988.9346252065
GLOBAL TRADING CORPORATION,569543.0,90576.0,30310.0,17910.0,13170.0,9830.0,8670.0,18100.0,16428.0,15944.14183434112,13414.437568550968,18407.72319377397,572717.9287651187,16490.06188920697
GOOD WOOD IMPORTS,151781.0,105907.0,542910.0,558579.0,1090458.0,948412.0,795905.0,1249085.0,998059.0,928692.7040598058,1097164.0039626637,1248306.7428221733,152041.113579131,993057.5262797379
GRACE HOME STYLE TRADE P LTD,123146.0,154345.0,213088.0,174503.0,160262.0,92946.0,48951.0,77858.0,31654.0,31153.556375873628,156667.75136450314,76259.97589437131,126083.58460621668,31847.257815879908
GRAND TOTAL                             ,2713664304.0,2635813697.0,2366701667.0,2511844065.0,2481273539.0,2521187733.0,2341850049.0,2212201513.0,2260327989.0,270015332.5588022,326492717.8051429,297134341.6704401,350311327.6222596,295191224.584553
GREEN METHOD ENGINEERING (P) LTD.,19584.0,26112.0,26880.0,13440.0,83520.0,6720.0,6720.0,33600.0,20160.0,20433.82021965214,83936.34351369995,33239.394343415304,19586.20612887863,20049.957552701504
GREEN WUD IMPEX,111057.0,26353.0,138364.0,64572.0,188697.0,339217.0,175077.0,116841.0,143929.0,142843.08805668872,193718.66906474368,118284.34202999904,112613.11654147589,139501.49124032288
GREENLAND PARTICLE BOARDS P. LTD.,3930.0,153472.0,262179.0,191446.0,517140.0,271735.0,178364.0,778625.0,709741.0,686979.3109030523,510224.51007135474,769406.8259855742,5879.500887955316,707163.6529179186
GTN ENTERPRISES LTD.,1305017.0,3234648.0,2802712.0,2914032.0,3034831.0,1465091.0,2179959.0,1954083.0,1837978.0,2471122.796881683,2920824.722866517,2007525.4483805576,1607707.8086899945,1956560.4985593494
GUARDIAN CONTROLS LTD.,33690.0,56439.0,40241.0,41873.0,37677.0,59085.0,29148.0,8958.0,41814.0,41746.43731859438,37126.13340307146,9412.55198455308,33989.315807353014,42891.47315008029
GUJARAT TEA PROCESSORS & PACKERS LTD.,110367.0,56615.0,90296.0,50737.0,89453.0,55900.0,22760.0,43560.0,33760.0,34116.06839462209,89567.04011519732,43312.37553714732,110466.3438918103,33477.19773068328
HABA MARKETING,125510.0,73510.0,88051.0,108893.0,107845.0,84372.0,34191.0,231741.0,111420.0,110838.62170298069,106804.6291889084,224108.3936757877,125917.61273725804,112756.955776254
