Importers,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028
HYGIENE PACKS,1177517.0,1816727.0,3445350.0,3437550.0,4236463.0,1693199.0,1667679.0,2117197.0,2232632.0,2232514.53,2233431.1593,2235003.3168319985,2229494.376003712,4208240.6
HYKON INDIA (P) LTD.,5739.0,17557.0,161814.0,111768.0,27100.0,180671.0,292467.0,226458.0,63205.0,63213.12,63236.02750000005,63275.98714799995,63289.733194139946,27114.0033
INDIAN FRUITS,98504.0,201271.0,397850.0,414894.0,315296.0,174756.0,47460.0,251996.0,268601.0,268681.98,268816.5631000004,268752.541582,268882.21116982994,315214.36
INDIAN PRODUCTS P. LTD.,872732.0,1690543.0,2546542.0,2384270.0,3548116.0,4331261.0,4523186.0,3045623.0,2723570.0,2756740.29,2773466.511499999,2782554.584218,2787881.3642758983,3550879.05
INDO GERMAN TRADING,62953.0,343550.0,486227.0,519404.0,642730.0,629223.0,60094.0,64223.0,105117.0,105068.91,105083.03840000008,105067.235936,105083.37014770992,642557.25
INDROYAL CRAFTS (P) LTD.,132583.0,151749.0,173424.0,75516.0,212875.0,219993.0,110031.0,247249.0,248111.0,247820.82,247671.6861000001,247565.5205159999,247511.51226773037,212986.04
INDUS PLYWOODS,67800.0,72370.0,195087.0,178088.0,82131.0,25988.0,135375.0,280720.0,347380.0,347189.92,347111.19750000065,347189.12147500063,347136.9965290703,82145.35
INNOVATIVE FOODS LTD.,110601.0,141369.0,100863.0,87003.0,164052.0,71800.0,72000.0,117388.0,72000.0,72089.75,72148.21139999997,72175.00990500007,72171.6998656201,163914.3702
J S K INDUSTRIES,1176752.0,1144416.0,987530.0,1050754.0,767060.0,755450.0,897600.0,863384.0,1409434.0,1408190.19,1406494.1709999992,1404858.1296960008,1405073.8464215605,767341.0
J.R. IMPORTS,377270.0,475966.0,488686.0,395310.0,550369.0,447280.0,622040.0,414628.0,283206.0,283521.02,283886.69649999985,284181.28723099985,284430.19031904946,550254.42
