Exporter Name,Address,State,pin,2015,2016,2017,2018,2019,2020,2021,2022,2023,Taluk,District,Latitude,Longitude,Cluster,2024,2025,2026,2027,2028
GOOD EARTH ORGANIC,"5CFP+MQ4, Enchackal Kavala, Kalady, Kerala 683574, India",Kerala,683574,49600,71150,143500,266012,124144,165696,183617,130362,96000,Aluva,Ernakulam,10.18281716,76.45845345,0,94656.49386,95127.67914,95205.89196,95361.49601,95223.62974
GRANDMAS FOOD PRODUCTS,"Peringuzha, XJ52+MH5, Perumpalloor P.O., Peringuzha, Ernakulam, Muvattupuzha, Kerala 686673, India",Kerala,686673,818592,773251,1014785,850994,944196,1323558,806152,719376,1238894,Muvattupuzha,Ernakulam,9.985828574,76.58100003,0,1234868.978,1236109.372,1226089.27,1228842.717,1230565.72
GREEN METHOD ENGINEERING P.LTD.,"ATC Building, Moolepadam Nagar Road HMT Junction, Kalamassery, HMT Junction, Moolepadam Nagar, South Kalamassery, Kalamassery, Kochi, Kerala 683104, India",Kerala,683104,13750,3400,10295,7000,3900,2500,0,7750,1250,Kanayannur,Ernakulam,10.05754296,76.31917809,0,1216.309613,1218.354219,1217.730028,1218.80828,1206.650226
GREEN VALLEY CONDIMENTS,"Aluva - Mala Rd, Ayroor, Attupuram, Kerala 683579, India",Kerala,683579,32590,0,0,11857,6854,17524,30094,109227,45093,Paravur,Ernakulam,10.18044539,76.31635012,0,45177.82045,45004.40879,45085.55198,45037.11404,44970.71635
GREEN WORLD COIR EXPORTS,"1/335, Rose St, Fort Nagar, Fort Kochi, Kochi, Kerala 682001, India",Kerala,682001,1402100,1718000,988000,675330,676000,338000,259000,182000,0,Kochi,Ernakulam,9.961975513,76.24336774,0,81459.81607,96350.15273,81403.94768,109470.9975,98622.12342
GREENLEAF EXTRACTIONS PVT LTD,"Plot No: 15, KINFRA HI-TECH Park, Opp Co-operative Medical College, P.O, HMT Colony, North Kalamassery, Kalamassery, Kochi, Kerala 683503, India",Kerala,683503,73243,129849,145582,187943,235841,271274,248924,201267,319738,Kanayannur,Ernakulam,10.05828796,76.33715315,0,318882.9841,321195.7866,321332.2387,321697.2283,322366.6762
HANDICRAFTS DEVE. CORPN. OF KERALA LTD.,"Kerala, India",Kerala,682002,255,107,90,343,450,411,0,0,355,Kochi,Ernakulam,9.957255233,76.25402237,0,332.70645,326.651388,338.6560777,337.856481,325.3478057
HERBAL ISOLATES P. LTD.,"XCVM+QPG, Aikaranad North, Kerala 682310, India",Kerala,682310,1362951,1440981,1693404,1331492,1435757,1467381,1663826,1537188,1815017,Kunnathunad,Ernakulam,9.98790642,76.43015296,0,1814482.168,1832189.293,1812072.54,1799328.22,1796652.007
HOLMARC OPTO-MECHATRONICS PVT LTD,"B.7, HMT Rd, Industrial Estate, P.O, Kalamassery, Kochi, Kerala 683503, India",Kerala,683503,2808,3167,1348,3043,1140,0,3167,2732,2388,Kanayannur,Ernakulam,10.05828796,76.33715315,0,2413.818546,2380.865718,2384.111517,2392.476182,2466.407489
INDIAN MARINE INDUSTRIES,"W779+J78, Nambiapuram Rd, Palluruthy, Kochi, Kerala 682006, India",Kerala,682006,6308500,6123040,7013052,9421110,4616990,2889470,3339626,2137854,3617350,Kochi,Ernakulam,9.917652552,76.27326456,0,3616076.346,3749927.388,3740533.155,3797337.586,3801974.937
