Exporter Name,Address,State,pin,2015,2016,2017,2018,2019,2020,2021,2022,2023,Taluk,District,Latitude,Longitude,Cluster,2024,2025,2026,2027,2028
RAJ EXIM,"No: 3, Balaji Street Bypass Road, M.M.C.Colony, MGM Nagar, Avaniyapuram, Tamil Nadu 12, India",Tamil Nadu,688524,12126,12600,19200,0,199,0,0,9657,0,Cherthala,Alappuzha,9.689101163,76.3328507,0,7.817164783,7.975534157,8.069322365,7.286311502,7.910320837
RAM BAHADUR THAKUR KERALA P. LTD.,"Kerala, India",Kerala,688534,825,0,0,0,0,0,0,0,0,Cherthla,Alappuzha,9.871729377,76.30438504,0,7.817164783,7.975534157,8.069322365,7.286311502,7.910320837
RAM COIR MILLS,"271/CMC 5, Nedumprakkad, P85X+MC8, Cherthala, Kerala 688524, India",Kerala,688524,4763871,5457897,6629300,7195080,4168988,4509927,4977764,3216635,1922972,Cherthala,Alappuzha,9.689101163,76.3328507,0,3190987.195,3174382.721,3164507.477,3158490.75,3149631.471
RELISH CUSTOM FOOD,"Beach Road, Valanjavazhy, Kerala 688005, India",Kerala,688005,131534,0,79000,52000,55000,49516,90563,77574,28624,Ambalappuzha,Alappuzha,9.40768399,76.35170703,0,28694.39971,28694.05914,28676.66595,28610.19339,28454.76404
ROYAL MARINE EXPORTS,"R8V5+M94, Chandiroor, Kerala 688535, India",Kerala,688535,19000,0,0,0,0,0,0,0,1143740,Cherthala,Alappuzha,9.8564922,76.32294532,0,1205423.07,1173930.693,1166062.658,1167338.49,1161754.061
RURAL COIR INDUSTRIES,"Mattathil Muhamma, Aryakara, Alappuzha, Muhamma, Kerala 688525, India",Kerala,688525,35768,11666,0,8364,27632,19917,21338,21412,17444,Cherthala,Alappuzha,9.619357623,76.35883995,0,17439.82167,17472.77751,17480.21737,17473.75982,17489.85609
S.P.V.DESIGNS,"G8CJ+JX3, Thalavady, Thiruvilak, Vyasapuram, Alappuzha, Aryad South, Kerala 688008, India",Kerala,688008,160735,86007,115920,46371,46508,14535,33942,7502,51270,Ambalapuzha,Alappuzha,9.521471733,76.3244164,0,51482.24441,51619.5994,51632.66633,51455.63619,51325.7912
SAMUDRA SHIPYARD P.LTD.,"Aroor gram panchayat, Kochi, Kerala 688534, India",Kerala,688534,365,0,0,0,0,0,2712,0,0,Cherthla,Alappuzha,9.871729377,76.30438504,0,7.817164783,7.975534157,8.069322365,7.286311502,7.910320837
SARK SPICE PRODUCTS P. LTD.,"Neelamperoor - Kavalam Rd, Kavalam, Eara, Kerala 686534, India",Kerala,686534,114360,65456,51212,15151,18517,0,0,0,0,Kuttanad,Alappuzha,9.499139,76.50628866,0,15.88783093,0,0,101.9346255,281.6722691
SEASON COIR EXPORTS,"CHINGOLI, P.O,KARTHIKAPALLY, Haripad, Karthikapally, Kerala 690532, India",Kerala,690532,684500,864350,1381875,1856433,1203571,1912359,1759803,2883676,6377557,Karthikappally,Alappuzha,9.244080327,76.45276534,0,6307364.016,6313326.759,6292866.561,6347949.824,6332659.052
